Counts: 	19779	19779	25	0	0	0	3	4779	903	1	4	0	0	12190	25	2	2	1	213	
F5HL68	F5HL68_ANOGA	Anopheles gambiae						F5HL68;						7165.AGAP004247-PC;						
B2FYL3	B2FYL3_ANOGA	Anopheles gambiae																		
F5HIV0	F5HIV0_ANOGA	Anopheles gambiae												7165.AGAP002186-PA;						
F5HMN2	F5HMN2_ANOGA	Anopheles gambiae																		
Q7PRA1	Q7PRA1_ANOGA	Anopheles gambiae												7165.AGAP002936-PA;						
A0NE75	A0NE75_ANOGA	Anopheles gambiae												7165.AGAP004917-PA;						
A7UUY1	A7UUY1_ANOGA	Anopheles gambiae																		
Q868R8	Q868R8_ANOGA	Anopheles gambiae						Q868R8;												
A7UR94	A7UR94_ANOGA	Anopheles gambiae																		
A7UVC4	A7UVC4_ANOGA	Anopheles gambiae						A7UVC4;						7165.AGAP012313-PA;						
A7UUA8	A7UUA8_ANOGA	Anopheles gambiae																		
A7UUB4	A7UUB4_ANOGA	Anopheles gambiae						A7UUB4;												
A7USA9	A7USA9_ANOGA	Anopheles gambiae																		
F5HLX2	F5HLX2_ANOGA	Anopheles gambiae																		
Q7Q284	Q7Q284_ANOGA	Anopheles gambiae						Q7Q284;						7165.AGAP003981-PA;						
A7UR98	A7UR98_ANOGA	Anopheles gambiae						A7UR98;	A7UR98;					7165.AGAP007565-PB;						
Q7Q3T6	Q7Q3T6_ANOGA	Anopheles gambiae												7165.AGAP008037-PA;						
A7URV6	A7URV6_ANOGA	Anopheles gambiae							A7URV6;					7165.AGAP006936-PA;						
Q7Q7G5	Q7Q7G5_ANOGA	Anopheles gambiae							Q7Q7G5;					7165.AGAP005322-PA;						
Q7QDC1	Q7QDC1_ANOGA	Anopheles gambiae												7165.AGAP003050-PA;						
F4YJV1	F4YJV1_ANOGA	Anopheles gambiae						F4YJV1;						7165.AGAP013442-PC;						
Q7QJX3	Q7QJX3_ANOGA	Anopheles gambiae	4L11;					Q7QJX3;						7165.AGAP007709-PA;	X-ray crystallography (1)					
Q5TN00	Q5TN00_ANOGA	Anopheles gambiae												7165.AGAP012079-PA;						
Q7Q3P5	Q7Q3P5_ANOGA	Anopheles gambiae						Q7Q3P5;	Q7Q3P5;					7165.AGAP007975-PA;						
Q5TP08	Q5TP08_ANOGA	Anopheles gambiae																		
Q7Q550	Q7Q550_ANOGA	Anopheles gambiae												7165.AGAP006643-PA;						
Q5TRW6	Q5TRW6_ANOGA	Anopheles gambiae						Q5TRW6;						7165.AGAP004595-PA;						
Q5TVQ9	Q5TVQ9_ANOGA	Anopheles gambiae																		
Q5TX46	Q5TX46_ANOGA	Anopheles gambiae						Q5TX46;						7165.AGAP007696-PA;						
Q4JSA2	Q4JSA2_ANOGA	Anopheles gambiae						Q4JSA2;												
Q5TT64	Q5TT64_ANOGA	Anopheles gambiae												7165.AGAP003519-PA;						
Q7PZ22	Q7PZ22_ANOGA	Anopheles gambiae												7165.AGAP011686-PA;						
B2FWS5	B2FWS5_ANOGA	Anopheles gambiae												7165.AGAP004920-PA;						
Q7QFD7	Q7QFD7_ANOGA	Anopheles gambiae												7165.AGAP000428-PA;						
Q5TX73	Q5TX73_ANOGA	Anopheles gambiae																		
Q7QI47	Q7QI47_ANOGA	Anopheles gambiae												7165.AGAP005300-PA;						
F5HMX2	F5HMX2_ANOGA	Anopheles gambiae												7165.AGAP013230-PA;						
Q7Q009	Q7Q009_ANOGA	Anopheles gambiae						Q7Q009;	Q7Q009;					7165.AGAP012188-PA;						
F2YBD3	F2YBD3_ANOGA	Anopheles gambiae																		
O76812	O76812_ANOGA	Anopheles gambiae												7165.AGAP001192-PA;						
Q7PWL1	Q7PWL1_ANOGA	Anopheles gambiae												7165.AGAP008926-PA;						
Q7Q0M5	Q7Q0M5_ANOGA	Anopheles gambiae						Q7Q0M5;						7165.AGAP010265-PA;						
Q7QAU3	Q7QAU3_ANOGA	Anopheles gambiae												7165.AGAP003537-PB;						
F5HMS0	F5HMS0_ANOGA	Anopheles gambiae																		
Q7Q9X2	Q7Q9X2_ANOGA	Anopheles gambiae												7165.AGAP004556-PA;						
Q7QE48	Q7QE48_ANOGA	Anopheles gambiae						Q7QE48;												
Q7PGN1	Q7PGN1_ANOGA	Anopheles gambiae						Q7PGN1;	Q7PGN1;					7165.AGAP002858-PC;						
Q7JMV5	Q7JMV5_ANOGA	Anopheles gambiae																		
Q5TQI7	Q5TQI7_ANOGA	Anopheles gambiae																		
Q7PX52	Q7PX52_ANOGA	Anopheles gambiae							Q7PX52;					7165.AGAP001217-PA;						
F5HLF4	F5HLF4_ANOGA	Anopheles gambiae						F5HLF4;						7165.AGAP013188-PA;						
Q7PR13	Q7PR13_ANOGA	Anopheles gambiae												7165.AGAP002632-PA;						
Q7Q7G8	Q7Q7G8_ANOGA	Anopheles gambiae												7165.AGAP005316-PA;						
Q7PWY6	Q7PWY6_ANOGA	Anopheles gambiae												7165.AGAP001111-PA;						
Q7QAD6	Q7QAD6_ANOGA	Anopheles gambiae												7165.AGAP004291-PA;						
Q7PVI9	Q7PVI9_ANOGA	Anopheles gambiae												7165.AGAP009264-PA;						
Q7PY42	Q7PY42_ANOGA	Anopheles gambiae												7165.AGAP001738-PA;						
Q7PND9	Q7PND9_ANOGA	Anopheles gambiae												7165.AGAP008033-PA;						
A0NBW4	A0NBW4_ANOGA	Anopheles gambiae																		
Q7PST1	Q7PST1_ANOGA	Anopheles gambiae												7165.AGAP011178-PA;						
Q868R6	Q868R6_ANOGA	Anopheles gambiae						Q868R6;												
Q7Q6T5	Q7Q6T5_ANOGA	Anopheles gambiae																		
Q5TVH5	Q5TVH5_ANOGA	Anopheles gambiae																		
Q7QGW3	Q7QGW3_ANOGA	Anopheles gambiae						Q7QGW3;												
Q7Q0C2	Q7Q0C2_ANOGA	Anopheles gambiae												7165.AGAP012382-PA;						
Q7Q049	Q7Q049_ANOGA	Anopheles gambiae												7165.AGAP012258-PA;						
Q7Q6F7	Q7Q6F7_ANOGA	Anopheles gambiae												7165.AGAP005871-PA;						
Q8WR30	Q8WR30_ANOGA	Anopheles gambiae																		
A7URH8	A7URH8_ANOGA	Anopheles gambiae																		
A7UR97	A7UR97_ANOGA	Anopheles gambiae												7165.AGAP007570-PA;						
Q7Q4B3	Q7Q4B3_ANOGA	Anopheles gambiae						Q7Q4B3;						7165.AGAP008321-PA;						
A7UV09	A7UV09_ANOGA	Anopheles gambiae																		
Q7Q2U2	Q7Q2U2_ANOGA	Anopheles gambiae																		
A7UVK8	A7UVK8_ANOGA	Anopheles gambiae						A7UVK8;						7165.AGAP002076-PA;						
Q7PN11	Q7PN11_ANOGA	Anopheles gambiae						Q7PN11;						7165.AGAP011417-PA;						
Q5TTD1	Q5TTD1_ANOGA	Anopheles gambiae																		
A7UVQ1	A7UVQ1_ANOGA	Anopheles gambiae												7165.AGAP001281-PA;						
A7URT8	A7URT8_ANOGA	Anopheles gambiae												7165.AGAP006990-PA;						
Q7Q971	Q7Q971_ANOGA	Anopheles gambiae						Q7Q971;	Q7Q971;					7165.AGAP004866-PA;						
Q7QEB3	Q7QEB3_ANOGA	Anopheles gambiae																		
Q7PII7	Q7PII7_ANOGA	Anopheles gambiae							Q7PII7;					7165.AGAP006023-PA;						
Q7YW69	Q7YW69_ANOGA	Anopheles gambiae																		
Q7QF20	Q7QF20_ANOGA	Anopheles gambiae						Q7QF20;						7165.AGAP000262-PA;						
A7UUP3	A7UUP3_ANOGA	Anopheles gambiae						A7UUP3;												
A0NE57	A0NE57_ANOGA	Anopheles gambiae												7165.AGAP008797-PA;						
Q7PNF8	Q7PNF8_ANOGA	Anopheles gambiae						Q7PNF8;						7165.AGAP008347-PA;						
Q7PT19	Q7PT19_ANOGA	Anopheles gambiae												7165.AGAP007706-PA;						
Q7PX80	Q7PX80_ANOGA	Anopheles gambiae												7165.AGAP001264-PA;						
Q7PY35	Q7PY35_ANOGA	Anopheles gambiae												7165.AGAP001731-PA;						
Q7Q2M5	Q7Q2M5_ANOGA	Anopheles gambiae						Q7Q2M5;						7165.AGAP004721-PA;						
Q7PXI5	Q7PXI5_ANOGA	Anopheles gambiae						Q7PXI5;	Q7PXI5;					7165.AGAP001420-PA;						
Q7QCV3	Q7QCV3_ANOGA	Anopheles gambiae												7165.AGAP002816-PA;						
Q7Q7C7	Q7Q7C7_ANOGA	Anopheles gambiae							Q7Q7C7;					7165.AGAP005382-PA;					SUBUNIT: Tetramer of two alpha and two beta chains. {ECO:0000256|PIRNR:PIRNR016398}.	
Q7PSP1	Q7PSP1_ANOGA	Anopheles gambiae												7165.AGAP011084-PA;						
Q7Q9P4	Q7Q9P4_ANOGA	Anopheles gambiae							Q7Q9P4;					7165.AGAP005122-PA;						
Q7PQP4	Q7PQP4_ANOGA	Anopheles gambiae						Q7PQP4;	Q7PQP4;					7165.AGAP004222-PB;						
Q7Q9R4	Q7Q9R4_ANOGA	Anopheles gambiae							Q7Q9R4;					7165.AGAP005081-PA;						
B2FZ93	B2FZ93_ANOGA	Anopheles gambiae												7165.AGAP011287-PA;						
Q7Q4B6	Q7Q4B6_ANOGA	Anopheles gambiae																		
Q7Q8D4	Q7Q8D4_ANOGA	Anopheles gambiae						Q7Q8D4;						7165.AGAP008684-PA;						
A0NC41	A0NC41_ANOGA	Anopheles gambiae																		
Q7Q5F2	Q7Q5F2_ANOGA	Anopheles gambiae												7165.AGAP006471-PA;						
A7URN3	A7URN3_ANOGA	Anopheles gambiae												7165.AGAP007176-PA;						
A7US80	A7US80_ANOGA	Anopheles gambiae																		
A7UUL6	A7UUL6_ANOGA	Anopheles gambiae																		
Q7PYL0	Q7PYL0_ANOGA	Anopheles gambiae												7165.AGAP001987-PA;						
A7UU72	A7UU72_ANOGA	Anopheles gambiae																		
A0NE87	A0NE87_ANOGA	Anopheles gambiae						A0NE87;						7165.AGAP004600-PA;						
A7UV40	A7UV40_ANOGA	Anopheles gambiae																		
Q7QE32	Q7QE32_ANOGA	Anopheles gambiae						Q7QE32;						7165.AGAP010677-PA;						
Q7PQZ4	Q7PQZ4_ANOGA	Anopheles gambiae												7165.AGAP002401-PA;						
Q7QF23	Q7QF23_ANOGA	Anopheles gambiae																		
Q7QJ23	Q7QJ23_ANOGA	Anopheles gambiae						Q7QJ23;	Q7QJ23;					7165.AGAP007213-PA;						
Q7PYH7	Q7PYH7_ANOGA	Anopheles gambiae						Q7PYH7;						7165.AGAP001944-PA;						
Q7PN26	Q7PN26_ANOGA	Anopheles gambiae						Q7PN26;	Q7PN26;					7165.AGAP007952-PA;						
Q7PXW0	Q7PXW0_ANOGA	Anopheles gambiae												7165.AGAP001624-PA;						
Q7Q020	Q7Q020_ANOGA	Anopheles gambiae																		
Q7PUU6	Q7PUU6_ANOGA	Anopheles gambiae						Q7PUU6;						7165.AGAP001935-PA;						
Q7QH33	Q7QH33_ANOGA	Anopheles gambiae												7165.AGAP003495-PA;						
Q6Y8G3	Q6Y8G3_ANOGA	Anopheles gambiae						Q6Y8G3;	Q6Y8G3;					7165.AGAP009036-PC;						
Q7Q534	Q7Q534_ANOGA	Anopheles gambiae						Q7Q534;	Q7Q534;					7165.AGAP006665-PA;						
L7RI06	L7RI06_ANOGA	Anopheles gambiae																		
Q7PXP4	Q7PXP4_ANOGA	Anopheles gambiae												7165.AGAP001507-PA;						
L7RQT8	L7RQT8_ANOGA	Anopheles gambiae																		
Q7Q4G3	Q7Q4G3_ANOGA	Anopheles gambiae																		
L7RSK1	L7RSK1_ANOGA	Anopheles gambiae												7165.AGAP006974-PA;						
L7RPJ0	L7RPJ0_ANOGA	Anopheles gambiae												7165.AGAP006421-PA;						
Q7PVV7	Q7PVV7_ANOGA	Anopheles gambiae												7165.AGAP009171-PA;						
Q5PTX6	Q5PTX6_ANOGA	Anopheles gambiae																		
Q7Q568	Q7Q568_ANOGA	Anopheles gambiae						Q7Q568;						7165.AGAP006611-PA;						
A0NBM1	A0NBM1_ANOGA	Anopheles gambiae						A0NBM1;						7165.AGAP006921-PA;						
A0NE92	A0NE92_ANOGA	Anopheles gambiae												7165.AGAP004624-PA;						
Q7PV81	Q7PV81_ANOGA	Anopheles gambiae						Q7PV81;						7165.AGAP012104-PA;						
Q7PXB5	Q7PXB5_ANOGA	Anopheles gambiae												7165.AGAP001320-PA;						
Q7PTD9	Q7PTD9_ANOGA	Anopheles gambiae																		
Q7Q3K1	Q7Q3K1_ANOGA	Anopheles gambiae						Q7Q3K1;						7165.AGAP007921-PA;						
Q5TS37	Q5TS37_ANOGA	Anopheles gambiae												7165.AGAP008770-PA;						
Q7PN87	Q7PN87_ANOGA	Anopheles gambiae																		
Q7PPJ2	Q7PPJ2_ANOGA	Anopheles gambiae						Q7PPJ2;						7165.AGAP005020-PA;						
L7T5H4	L7T5H4_ANOGA	Anopheles gambiae																		
Q6IDW8	Q6IDW8_ANOGA	Anopheles gambiae						Q6IDW8;												
Q7Q4Q1	Q7Q4Q1_ANOGA	Anopheles gambiae																		
Q7QA36	Q7QA36_ANOGA	Anopheles gambiae																		
Q7QC53	Q7QC53_ANOGA	Anopheles gambiae																		
L7RSX8	L7RSX8_ANOGA	Anopheles gambiae												7165.AGAP006974-PA;						
A0NC89	A0NC89_ANOGA	Anopheles gambiae																		
A0NFU4	A0NFU4_ANOGA	Anopheles gambiae																		
Q7Q7S2	Q7Q7S2_ANOGA	Anopheles gambiae						Q7Q7S2;												
A7UUD8	A7UUD8_ANOGA	Anopheles gambiae																		
A7URK6	A7URK6_ANOGA	Anopheles gambiae																		
A7URT2	A7URT2_ANOGA	Anopheles gambiae																		
A7UUI0	A7UUI0_ANOGA	Anopheles gambiae						A7UUI0;						7165.AGAP006673-PA;						
A0NH87	A0NH87_ANOGA	Anopheles gambiae																		
A0NGI9	A0NGI9_ANOGA	Anopheles gambiae						A0NGI9;	A0NGI9;					7165.AGAP012334-PA;						
Q7PV85	Q7PV85_ANOGA	Anopheles gambiae						Q7PV85;	Q7PV85;					7165.AGAP012261-PA;						
A7UR68	A7UR68_ANOGA	Anopheles gambiae						A7UR68;						7165.AGAP007726-PA;						
Q7QEI9	Q7QEI9_ANOGA	Anopheles gambiae						Q7QEI9;	Q7QEI9;					7165.AGAP000011-PA;						
Q7PJU1	Q7PJU1_ANOGA	Anopheles gambiae																		
Q7PZE5	Q7PZE5_ANOGA	Anopheles gambiae						Q7PZE5;						7165.AGAP011870-PA;						
Q7PZL5	Q7PZL5_ANOGA	Anopheles gambiae						Q7PZL5;						7165.AGAP011971-PA;						
Q7PY99	Q7PY99_ANOGA	Anopheles gambiae						Q7PY99;						7165.AGAP001807-PA;						
Q7Z015	Q7Z015_ANOGA	Anopheles gambiae												7165.AGAP007628-PA;						
Q7Q767	Q7Q767_ANOGA	Anopheles gambiae						Q7Q767;						7165.AGAP005471-PA;						
A0NBA9	A0NBA9_ANOGA	Anopheles gambiae						A0NBA9;						7165.AGAP011036-PA;						
Q7Q2S8	Q7Q2S8_ANOGA	Anopheles gambiae						Q7Q2S8;	Q7Q2S8;					7165.AGAP004793-PA;						
Q7PMH7	Q7PMH7_ANOGA	Anopheles gambiae						Q7PMH7;						7165.AGAP009919-PA;						
Q7Q5A5	Q7Q5A5_ANOGA	Anopheles gambiae												7165.AGAP006540-PA;						
Q7PKI2	Q7PKI2_ANOGA	Anopheles gambiae																		
Q7Q629	Q7Q629_ANOGA	Anopheles gambiae												7165.AGAP006070-PA;						
Q7Q8S9	Q7Q8S9_ANOGA	Anopheles gambiae																		
Q7PWC5	Q7PWC5_ANOGA	Anopheles gambiae							Q7PWC5;					7165.AGAP009019-PA;						
Q7Q5L8	Q7Q5L8_ANOGA	Anopheles gambiae												7165.AGAP006363-PA;						
Q7Q9P1	Q7Q9P1_ANOGA	Anopheles gambiae						Q7Q9P1;	Q7Q9P1;					7165.AGAP005127-PA;						
Q7QA58	Q7QA58_ANOGA	Anopheles gambiae						Q7QA58;						7165.AGAP004425-PA;						
Q7QCM3	Q7QCM3_ANOGA	Anopheles gambiae						Q7QCM3;												
Q7PQ76	Q7PQ76_ANOGA	Anopheles gambiae						Q7PQ76;												
Q7QC14	Q7QC14_ANOGA	Anopheles gambiae																		
C0L2K0	C0L2K0_ANOGA	Anopheles gambiae																		
L7T679	L7T679_ANOGA	Anopheles gambiae																		
L7RNH0	L7RNH0_ANOGA	Anopheles gambiae												7165.AGAP006348-PA;						
Q7QEX3	Q7QEX3_ANOGA	Anopheles gambiae												7165.AGAP000194-PA;						
C7BB98	C7BB98_ANOGA	Anopheles gambiae																		
Q7PZK1	Q7PZK1_ANOGA	Anopheles gambiae												7165.AGAP011954-PC;						
L7T3S1	L7T3S1_ANOGA	Anopheles gambiae																		
L7RR82	L7RR82_ANOGA	Anopheles gambiae																		
L7RUP6	L7RUP6_ANOGA	Anopheles gambiae																		
Q7QAS6	Q7QAS6_ANOGA	Anopheles gambiae												7165.AGAP003560-PA;						
Q7QCH5	Q7QCH5_ANOGA	Anopheles gambiae												7165.AGAP002626-PA;						
L7RNT1	L7RNT1_ANOGA	Anopheles gambiae												7165.AGAP006348-PA;						
Q7QAG9	Q7QAG9_ANOGA	Anopheles gambiae												7165.AGAP003703-PA;						
Q7Q3F0	Q7Q3F0_ANOGA	Anopheles gambiae												7165.AGAP007846-PA;						
Q7PR62	Q7PR62_ANOGA	Anopheles gambiae												7165.AGAP002742-PA;						
Q8WR21	Q8WR21_ANOGA	Anopheles gambiae							Q8WR21;					7165.AGAP004990-PA;						
Q7PWJ9	Q7PWJ9_ANOGA	Anopheles gambiae												7165.AGAP008935-PA;						
Q7QIE2	Q7QIE2_ANOGA	Anopheles gambiae						Q7QIE2;						7165.AGAP006804-PA;						
Q7QHQ5	Q7QHQ5_ANOGA	Anopheles gambiae						Q7QHQ5;	Q7QHQ5;					7165.AGAP011300-PA;						
Q7QE97	Q7QE97_ANOGA	Anopheles gambiae						Q7QE97;						7165.AGAP000763-PA;						
O61469	O61469_ANOGA	Anopheles gambiae												7165.AGAP009081-PA;						
L7ZEV1	L7ZEV1_ANOGA	Anopheles gambiae																		
A7UTC0	A7UTC0_ANOGA	Anopheles gambiae												7165.AGAP005259-PA;						
Q380S9	Q380S9_ANOGA	Anopheles gambiae												7165.AGAP002084-PA;						
Q7Q1V6	Q7Q1V6_ANOGA	Anopheles gambiae																		
Q7Q1R1	Q7Q1R1_ANOGA	Anopheles gambiae												7165.AGAP009667-PA;						
A0NF13	A0NF13_ANOGA	Anopheles gambiae																		
Q7Q142	Q7Q142_ANOGA	Anopheles gambiae												7165.AGAP009983-PA;						
Q7Q796	Q7Q796_ANOGA	Anopheles gambiae							Q7Q796;					7165.AGAP005425-PA;						
A8B1J8	A8B1J8_ANOGA	Anopheles gambiae						A8B1J8;	A8B1J8;					7165.AGAP005095-PA;						
Q7Q2V0	Q7Q2V0_ANOGA	Anopheles gambiae												7165.AGAP004825-PA;						
Q7QIA9	Q7QIA9_ANOGA	Anopheles gambiae												7165.AGAP006757-PA;						
L7RKH1	L7RKH1_ANOGA	Anopheles gambiae												7165.AGAP006421-PA;						
L7T748	L7T748_ANOGA	Anopheles gambiae																		
Q5TUK9	Q5TUK9_ANOGA	Anopheles gambiae							Q5TUK9;					7165.AGAP010673-PA;						
Q6W533	Q6W533_ANOGA	Anopheles gambiae																		
Q7QAD4	Q7QAD4_ANOGA	Anopheles gambiae																		
L7T3Q9	L7T3Q9_ANOGA	Anopheles gambiae																		
L7T5V6	L7T5V6_ANOGA	Anopheles gambiae												7165.AGAP007060-PA;						
Q380S1	Q380S1_ANOGA	Anopheles gambiae							Q380S1;					7165.AGAP002049-PA;						
L7T584	L7T584_ANOGA	Anopheles gambiae												7165.AGAP007060-PA;						
Q5TQB0	Q5TQB0_ANOGA	Anopheles gambiae												7165.AGAP028212-PA;						
Q7Q4D0	Q7Q4D0_ANOGA	Anopheles gambiae												7165.AGAP008338-PA;						
Q7Q5P0	Q7Q5P0_ANOGA	Anopheles gambiae												7165.AGAP006330-PA;						
Q5PTW3	Q5PTW3_ANOGA	Anopheles gambiae																		
Q868S0	Q868S0_ANOGA	Anopheles gambiae						Q868S0;												
C7BB95	C7BB95_ANOGA	Anopheles gambiae																		
L7RK57	L7RK57_ANOGA	Anopheles gambiae												7165.AGAP006421-PA;						
Q5TTW4	Q5TTW4_ANOGA	Anopheles gambiae																		
L7T8P5	L7T8P5_ANOGA	Anopheles gambiae																		
L7T5R5	L7T5R5_ANOGA	Anopheles gambiae																		
L7T6N2	L7T6N2_ANOGA	Anopheles gambiae																		
E5LCE7	E5LCE7_ANOGA	Anopheles gambiae												7165.AGAP008625-PC;						
L7RQH7	L7RQH7_ANOGA	Anopheles gambiae																		
L7T5X0	L7T5X0_ANOGA	Anopheles gambiae																		
Q6LD04	Q6LD04_ANOGA	Anopheles gambiae																		
Q7Q1G3	Q7Q1G3_ANOGA	Anopheles gambiae																		
Q5TMQ0	Q5TMQ0_ANOGA	Anopheles gambiae							Q5TMQ0;					7165.AGAP011872-PA;						
Q8WRE3	Q8WRE3_ANOGA	Anopheles gambiae						Q8WRE3;						7165.AGAP006974-PA;						
L7RK12	L7RK12_ANOGA	Anopheles gambiae												7165.AGAP006421-PA;						
L7T5Q4	L7T5Q4_ANOGA	Anopheles gambiae																		
L7RPB1	L7RPB1_ANOGA	Anopheles gambiae																		
L7RQB1	L7RQB1_ANOGA	Anopheles gambiae																		
Q7QFW8	Q7QFW8_ANOGA	Anopheles gambiae												7165.AGAP003802-PA;						
Q7QEB6	Q7QEB6_ANOGA	Anopheles gambiae												7165.AGAP000731-PA;						
Q7QFH1	Q7QFH1_ANOGA	Anopheles gambiae						Q7QFH1;												
C6JYV0	C6JYV0_ANOGA	Anopheles gambiae												7165.AGAP012938-PA;						
Q7Q5U7	Q7Q5U7_ANOGA	Anopheles gambiae																		
A7LBB8	A7LBB8_ANOGA	Anopheles gambiae												7165.AGAP007693-PA;						
Q7QG21	Q7QG21_ANOGA	Anopheles gambiae												7165.AGAP003726-PA;						
A7UTA3	A7UTA3_ANOGA	Anopheles gambiae																		
L7T5V3	L7T5V3_ANOGA	Anopheles gambiae																		
L7RNP9	L7RNP9_ANOGA	Anopheles gambiae																		
A7UTT8	A7UTT8_ANOGA	Anopheles gambiae						A7UTT8;						7165.AGAP005686-PA;						
Q7Q408	Q7Q408_ANOGA	Anopheles gambiae						Q7Q408;												
A0NGD5	A0NGD5_ANOGA	Anopheles gambiae																		
A7UTB0	A7UTB0_ANOGA	Anopheles gambiae																		
C0L2P7	C0L2P7_ANOGA	Anopheles gambiae																		
A7UTC8	A7UTC8_ANOGA	Anopheles gambiae												7165.AGAP004830-PA;						
Q7QC98	Q7QC98_ANOGA	Anopheles gambiae						Q7QC98;						7165.AGAP002519-PA;						
Q5TN50	Q5TN50_ANOGA	Anopheles gambiae												7165.AGAP012263-PA;						
Q9GT47	Q9GT47_ANOGA	Anopheles gambiae												7165.AGAP010056-PA;						
Q7PV84	Q7PV84_ANOGA	Anopheles gambiae												7165.AGAP012302-PA;						
Q8I8P8	Q8I8P8_ANOGA	Anopheles gambiae						Q8I8P8;												
Q7PX96	Q7PX96_ANOGA	Anopheles gambiae												7165.AGAP001292-PA;						
A0NF88	A0NF88_ANOGA	Anopheles gambiae												7165.AGAP007896-PA;						
A0A0E4C788	A0A0E4C788_ANOGA	Anopheles gambiae																		
Q7PS10	Q7PS10_ANOGA	Anopheles gambiae						Q7PS10;	Q7PS10;					7165.AGAP000564-PA;						
C6K1S3	C6K1S3_ANOGA	Anopheles gambiae												7165.AGAP007713-PA;						
G1UK04	G1UK04_ANOGA	Anopheles gambiae												7165.AGAP010389-PA;						
A0A0E4C798	A0A0E4C798_ANOGA	Anopheles gambiae																		
F5HJH7	F5HJH7_ANOGA	Anopheles gambiae																		
A0A0E4C790	A0A0E4C790_ANOGA	Anopheles gambiae																		
F2YBH8	F2YBH8_ANOGA	Anopheles gambiae																		
Q7JMV4	Q7JMV4_ANOGA	Anopheles gambiae												7165.AGAP006507-PA;						
Q7PG80	Q7PG80_ANOGA	Anopheles gambiae																		
Q7QGJ2	Q7QGJ2_ANOGA	Anopheles gambiae						Q7QGJ2;						7165.AGAP011562-PA;						
Q7PGM1	Q7PGM1_ANOGA	Anopheles gambiae												7165.AGAP002770-PA;					SUBUNIT: Dimer of alpha and beta chains. {ECO:0000256|RuleBase:RU003505}.	
B2G1K2	B2G1K2_ANOGA	Anopheles gambiae												7165.AGAP008946-PA;						
Q7PKF0	Q7PKF0_ANOGA	Anopheles gambiae						Q7PKF0;						7165.AGAP012291-PA;						
F5HM48	F5HM48_ANOGA	Anopheles gambiae												7165.AGAP013423-PA;						
Q7PPA9	Q7PPA9_ANOGA	Anopheles gambiae						Q7PPA9;						7165.AGAP006227-PA;						
Q7PPD8	Q7PPD8_ANOGA	Anopheles gambiae																		
Q7PQS3	Q7PQS3_ANOGA	Anopheles gambiae												7165.AGAP003211-PA;						
Q7QC00	Q7QC00_ANOGA	Anopheles gambiae						Q7QC00;						7165.AGAP002383-PA;						
Q5TVH1	Q5TVH1_ANOGA	Anopheles gambiae																		
F5HK83	F5HK83_ANOGA	Anopheles gambiae																		
F5HMQ2	F5HMQ2_ANOGA	Anopheles gambiae												7165.AGAP001446-PB;						
Q7PHI7	Q7PHI7_ANOGA	Anopheles gambiae												7165.AGAP005138-PA;						
A0NE39	A0NE39_ANOGA	Anopheles gambiae												7165.AGAP008693-PA;						
A0NGP6	A0NGP6_ANOGA	Anopheles gambiae																		
A0NDL1	A0NDL1_ANOGA	Anopheles gambiae						A0NDL1;						7165.AGAP003684-PA;						
B2FXH9	B2FXH9_ANOGA	Anopheles gambiae												7165.AGAP006747-PA;						
A0NCD0	A0NCD0_ANOGA	Anopheles gambiae												7165.AGAP000575-PB;						
F5HMK5	F5HMK5_ANOGA	Anopheles gambiae												7165.AGAP001590-PA;						
F2Y0I4	F2Y0I4_ANOGA	Anopheles gambiae						F2Y0I4;												
Q7PLY4	Q7PLY4_ANOGA	Anopheles gambiae												7165.AGAP003303-PA;						
Q7PN20	Q7PN20_ANOGA	Anopheles gambiae						Q7PN20;												
Q7PK15	Q7PK15_ANOGA	Anopheles gambiae																		
Q868T0	Q868T0_ANOGA	Anopheles gambiae						Q868T0;												
Q7PQW2	Q7PQW2_ANOGA	Anopheles gambiae												7165.AGAP002648-PA;						
F2Y0H7	F2Y0H7_ANOGA	Anopheles gambiae																		
Q7Q5V6	Q7Q5V6_ANOGA	Anopheles gambiae												7165.AGAP006183-PA;						
Q7QFF0	Q7QFF0_ANOGA	Anopheles gambiae						Q7QFF0;						7165.AGAP000446-PA;						
Q7PX59	Q7PX59_ANOGA	Anopheles gambiae							Q7PX59;					7165.AGAP001228-PA;						
B2FWM6	B2FWM6_ANOGA	Anopheles gambiae												7165.AGAP004455-PA;						
F5HKQ4	F5HKQ4_ANOGA	Anopheles gambiae																		
Q7PRX0	Q7PRX0_ANOGA	Anopheles gambiae																		
D2STX1	D2STX1_ANOGA	Anopheles gambiae												7165.AGAP006343-PA;						
F5HMI1	F5HMI1_ANOGA	Anopheles gambiae						F5HMI1;												
F5HLY4	F5HLY4_ANOGA	Anopheles gambiae												7165.AGAP000829-PB;						
A7UTH3	A7UTH3_ANOGA	Anopheles gambiae												7165.AGAP008732-PA;						
Q7PMG2	Q7PMG2_ANOGA	Anopheles gambiae												7165.AGAP009642-PA;						
C6JWT3	C6JWT3_ANOGA	Anopheles gambiae																		
Q5TWU4	Q5TWU4_ANOGA	Anopheles gambiae																		
Q7Q1J9	Q7Q1J9_ANOGA	Anopheles gambiae						Q7Q1J9;						7165.AGAP009757-PA;						
Q5TUY5	Q5TUY5_ANOGA	Anopheles gambiae						Q5TUY5;						7165.AGAP000216-PA;						
